Date,IMOEX.ME,XU100.IS,^BSESN,^BVSP,^JKSE,^MXX
2015-11-19,1811.199951171875,80441.203125,25841.919921875,48139.0,4518.80615234375,44620.6015625
2015-11-20,1826.719970703125,80681.703125,25868.490234375,,4561.19873046875,44895.01953125
2015-11-23,1868.0699462890625,79744.796875,25819.33984375,48150.0,4540.93115234375,44779.140625
2015-11-24,1810.050048828125,76243.0,25775.740234375,48284.0,4545.2431640625,44576.23046875
2015-11-25,1833.530029296875,76836.5,,46867.0,4585.40966796875,44138.75
2015-11-26,1828.300048828125,74997.6015625,25958.630859375,47146.0,4596.9208984375,44374.51953125
2015-11-27,1795.699951171875,75638.3984375,26128.19921875,45873.0,4560.4248046875,44247.98046875
2015-11-30,1771.050048828125,75232.796875,26145.669921875,45120.0,4446.326171875,43418.55078125
2015-12-01,1772.969970703125,75232.796875,26169.41015625,45047.0,4557.53271484375,43984.8984375
2015-12-02,1770.1300048828125,76395.0,26117.849609375,44915.0,4545.72802734375,43417.05078125
2015-12-03,1787.22998046875,75452.796875,25886.619140625,46393.0,4537.2470703125,43027.30078125
2015-12-04,1755.219970703125,74265.296875,25638.109375,45361.0,4508.318359375,42994.23046875
2015-12-07,1741.1400146484375,73908.8984375,25530.109375,45223.0,4521.2578125,42655.23828125
2015-12-08,1718.77001953125,73908.8984375,25310.330078125,44443.0,4464.04931640625,42236.73828125
2015-12-09,1733.0899658203125,74583.703125,25036.05078125,46108.0,,42398.05859375
2015-12-10,1732.8900146484375,72354.203125,25252.3203125,45631.0,4466.0771484375,42447.76953125
2015-12-11,1720.31005859375,70280.296875,25044.4296875,45263.0,4393.3916015625,42000.62890625
2015-12-14,1708.699951171875,69308.703125,25150.349609375,44747.0,4374.06103515625,41901.9609375
2015-12-15,1742.4599609375,72156.796875,25320.439453125,44872.0,4409.041015625,42905.19921875
2015-12-16,1754.7099609375,72831.796875,25494.369140625,45016.0,4483.3203125,43429.71875
2015-12-17,1780.969970703125,73711.8984375,25803.779296875,45261.0,4555.82861328125,43503.51953125
2015-12-18,1719.1600341796875,72460.3984375,25519.220703125,43911.0,4468.52099609375,42936.62890625
2015-12-21,1716.9100341796875,73328.203125,25735.900390625,43200.0,4490.546875,43160.609375
2015-12-22,1723.3499755859375,73102.1015625,25590.650390625,43470.0,4517.43408203125,43328.71875
2015-12-23,1747.8499755859375,74044.8984375,25850.30078125,44015.0,4522.51953125,43579.671875
2015-12-24,1742.7099609375,74189.5,25838.7109375,,,43528.26953125
2015-12-25,,74189.5,,,,
2015-12-28,1731.199951171875,74243.203125,26034.130859375,43764.0,4557.2197265625,43396.16015625
2015-12-29,1763.3800048828125,73912.6015625,26079.48046875,43654.0,4569.22509765625,43391.78125
2015-12-30,1761.3599853515625,73200.703125,25960.029296875,43350.0,4592.87158203125,43012.37109375
2015-12-31,,71727.0,26117.5390625,,,42977.5
2016-01-04,1734.56005859375,70518.3984375,25623.349609375,42141.0,4525.78466796875,42113.69921875
2016-01-05,1754.1300048828125,70688.1015625,25580.33984375,42419.0,4557.6865234375,42041.6796875
2016-01-06,1748.5699462890625,71197.8984375,25406.330078125,41773.0,4608.8447265625,41691.19140625
2016-01-07,,71495.8984375,24851.830078125,40695.0,4530.3134765625,40661.5703125
2016-01-08,,70613.203125,24934.330078125,40612.0,4546.1533203125,40265.37109375
2016-01-11,1682.5400390625,71049.0,24825.0390625,39950.0,4465.35009765625,40706.890625
2016-01-12,1690.300048828125,71740.3984375,24682.029296875,39514.0,4512.39306640625,41022.73828125
2016-01-13,1684.780029296875,72508.703125,24854.109375,38944.0,4537.04443359375,41008.78125
2016-01-14,1680.77001953125,71940.6015625,24772.970703125,39500.0,4513.04736328125,41352.75
2016-01-15,1608.3599853515625,71062.0,24455.0390625,38569.0,4523.841796875,40847.69921875
2016-01-18,1622.4300537109375,71039.703125,24188.369140625,37937.0,4481.14306640625,40604.7890625
2016-01-19,1645.56005859375,71073.203125,24479.83984375,38057.0,4491.60302734375,40809.25
2016-01-20,1630.3900146484375,69604.0,24062.0390625,37645.0,4427.853515625,40844.41015625
2016-01-21,1677.18994140625,68567.8984375,23962.2109375,37717.0,4413.9951171875,41166.87890625
2016-01-22,1717.97998046875,70243.8984375,24435.66015625,38031.0,4456.61181640625,41621.30859375
2016-01-25,1716.56005859375,70539.0,24485.94921875,,4505.654296875,41476.3515625
2016-01-26,1705.010009765625,71808.8984375,,37497.0,4510.333984375,41932.390625
2016-01-27,1747.5699462890625,72052.8984375,24492.390625,38376.0,4583.49169921875,42109.890625
2016-01-28,1771.9300537109375,72427.3984375,24469.5703125,38630.0,4602.69287109375,42393.01953125
2016-01-29,1784.9200439453125,73481.1015625,24870.689453125,40406.0,4615.02587890625,43630.76953125
2016-02-01,1773.2099609375,73447.703125,24824.830078125,40570.0,4624.49755859375,
2016-02-02,1758.260009765625,72506.203125,24539.0,38596.0,4587.298828125,43092.48828125
2016-02-03,1746.3499755859375,73267.3984375,24223.3203125,39589.0,4595.9716796875,43257.5390625
2016-02-04,1787.9300537109375,74505.3984375,24338.4296875,40822.0,4665.6787109375,43751.9296875
2016-02-05,1780.5899658203125,74203.5,24616.970703125,40592.0,4798.80322265625,43229.671875
2016-02-08,1744.27001953125,72005.203125,24287.419921875,,,42774.8515625
2016-02-09,1723.3599853515625,71415.203125,24020.98046875,,4768.4833984375,42399.19140625
2016-02-10,1730.8299560546875,71614.203125,23758.900390625,40377.0,4732.34228515625,42535.73828125
2016-02-11,1711.5799560546875,70941.6015625,22951.830078125,39318.0,4775.71826171875,42359.26171875
2016-02-12,1726.0400390625,70937.3984375,22986.119140625,39808.0,4714.25341796875,42416.44140625
2016-02-15,1738.5400390625,71008.1015625,23554.119140625,40093.0,4740.58544921875,43205.91015625
2016-02-16,1753.8599853515625,70949.203125,23191.970703125,40948.0,4744.86328125,43100.3203125
2016-02-17,1770.31005859375,72805.1015625,23381.869140625,41631.0,4765.365234375,43585.23046875
2016-02-18,1807.2099609375,73446.5,23649.220703125,41478.0,4778.65234375,43516.66015625
2016-02-19,1793.3699951171875,73015.3984375,23709.150390625,41543.0,4697.42041015625,43375.30859375
2016-02-22,1822.3800048828125,74893.8984375,23788.7890625,43235.0,4708.48046875,43546.71875
2016-02-23,,75499.796875,23410.1796875,42521.0,4653.916015625,43216.578125
